xh,jyzk
2012210754,1
2012210755,1
2012210756,1
2012210757,1
2012215836,1
2012214188,1
2012210761,1
2012212768,1
2012210763,1
2012210764,0
2012210765,0
2012210766,0
2012210767,1
2012212767,1
2012210769,1
2012213431,1
2012213461,1
2012210773,1
2012213403,1
2012214553,1
2012213457,1
2012210778,1
2012211390,1
2012215177,1
2012213344,1
2012215223,1
2012215871,1
2012210784,0
2012210785,1
2012210786,0
2012214709,1
2012210060,1
2012210789,0
2012210729,1
2012212731,1
2012211609,1
2012215834,1
2012210795,1
2012215846,1
2012210797,1
2012210798,1
2012210799,1
2012210800,0
2012210801,1
2012212241,1
2012211322,1
2012210805,0
2012210806,1
2012210807,1
2012210808,0
2012211324,1
2012211157,0
2012211167,1
2012211251,0
2012211261,1
2012211265,1
2012211293,1
2012211307,0
2012214762,1
2012211030,1
2012211641,0
2012213726,1
2012211673,1
2012212019,0
2012212023,1
2012212955,1
2012214873,1
2012212986,1
2012213321,1
2012212998,1
2012212999,1
2012213013,1
2012213291,1
2012215390,1
2012214009,1
2012215722,1
2012214847,1
2012214995,1
2012215467,1
2012215561,0
2012215910,1
2012210999,1
2012215942,1
2012215951,1
2012215972,1
2012215988,1
201321023001,0
2012211143,0
2012211144,0
2012211044,1
2012211146,0
2012214100,1
2012211150,1
2012212895,1
2012211152,1
2012214542,1
2012211154,0
2012214736,1
2012211156,1
2012213222,1
2012211159,1
2012211160,1
2012211161,0
2012211840,1
2012211164,1
2012214527,1
2012211166,1
2012211169,1
2012211170,1
2012211172,1
2012212915,1
2012211450,1
2012211175,1
2012211176,1
2012212532,1
2012211178,1
2012211924,1
2012211180,1
2012211232,1
2012215445,1
2012211183,1
2012211184,1
2012211186,0
2012214042,1
2012215721,1
2012215098,1
2012215487,1
2012214658,1
2012211137,1
2012211194,0
2012212623,1
2012213466,1
2012212563,1
2012210783,1
2012211301,1
2012211937,1
2012211201,1
2012211202,1
2012211203,1
2012210164,1
2012211206,0
2012210030,1
2012210759,1
2012215826,1
2012211213,1
2012211214,1
2012211215,1
2012211216,1
2012212666,1
2012211218,1
2012213322,1
2012212869,1
2012211221,1
2012211633,1
2012211224,1
2012211225,1
2012215848,1
2012212944,1
2012211228,1
2012210114,1
2012210828,1
2012211819,1
2012212596,1
2012211234,1
2012211977,1
2012211988,1
2012211237,1
2012211238,1
2012211239,1
2012211240,0
2012210014,1
2012210399,1
2012212302,1
2012214557,1
2012213410,1
2012212972,1
2012211248,1
2012210263,1
2012216024,1
2012211209,1
2012215481,1
2012211837,1
2012211256,1
2012212669,1
2012213679,1
2012211259,1
2012211260,1
2012211262,1
2012211263,1
2012211052,1
2012212707,1
2012211267,1
2012211268,0
2012215657,1
2012215921,1
2012211271,0
2012211272,1
2012211273,1
2012214677,1
2012211275,1
2012214751,1
2012211278,1
2012211279,1
2012211280,0
2012214765,1
2012214779,1
2012214800,1
2012211284,1
2012214804,1
2012211287,1
2012214818,1
2012211289,1
2012210337,1
2012211292,1
2012211294,1
2012211295,1
2012211296,1
2012215995,1
2012214078,1
2012211300,1
2012215345,1
2012211302,0
2012211303,1
2012211304,0
2012215276,1
2012211306,1
2012210015,1
2012212433,1
2012211310,1
2012211311,1
2012211312,1
2012211313,1
2012212884,1
2012211365,1
2012212670,1
2012212844,1
2012211319,1
2012213148,1
2012210742,1
2012211173,1
2012210117,1
2012212673,1
2012215152,1
2012211318,1
2012211245,1
2012210031,1
2012211330,1
2012211331,1
2012211264,1
2012211333,0
2012214107,1
2012211335,1
2012211229,1
2012210637,1
2012211339,0
2012211340,1
2012211341,1
2012211342,1
2012211343,1
2012213495,1
2012211345,1
2012211346,1
2012211347,1
2012212939,1
2012211349,1
2012211350,0
2012211352,1
2012211353,0
2012211354,0
2012211338,1
2012211356,1
2012211357,1
2012211358,1
2012211359,0
2012211360,1
2012211361,1
2012211966,1
2012211363,1
