sno,jyzk
2012213199,1
2012212166,1
2012215855,0
2012214397,1
2012213972,1
2012212038,0
2012214641,1
2012214476,1
2012213546,1
2012212571,1
2012212913,1
2012212696,1
2012215552,1
2012214827,1
2012212182,1
2012214502,1
2012213585,1
2012213424,1
2012210529,0
2012211825,1
2012212642,1
2012211904,1
2012211502,1
2012212197,0
2012210795,1
2012215303,1
2012212012,1
2012212092,1
2012212477,0
2012214481,0
2012212638,0
2012210212,0
2012215057,1
2012210878,1
2012211590,1
2012213085,1
2012211503,1
2012211230,1
2012212291,0
2012211178,0
2012210465,1
2012211338,1
2012214445,1
2012215420,1
2012212082,0
2012215276,1
2012212220,1
2012211353,0
2012211887,1
2012215533,1
2012214489,1
2012212042,1
2012214478,1
2012212672,0
2012211661,1
2012210738,1
2012215424,0
2012215463,0
2012212906,0
2012214656,1
2012214029,0
2012215899,1
2012214945,1
2012210356,1
2012211432,1
2012212788,1
2012215775,1
2012214957,1
2012214939,1
2012213104,1
2012210604,1
2012215794,1
2012214715,1
2012213787,1
2012211291,1
2012212378,0
2012214621,1
2012211764,1
2012210140,1
2012213266,1
2012212458,1
2012212939,1
2012214650,1
2012215250,1
2012212033,1
2012212326,0
2012210326,0
2012213158,1
2012212972,1
2012212725,1
2012212661,1
2012214913,0
2012211994,0
2012212206,1
2012215521,0
2012210323,1
2012213350,1
2012214485,1
2012214665,1
2012214032,1
2012213961,1
2012211809,1
2012211344,1
2012212977,1
2012215414,1
2012214103,1
2012213383,1
2012213578,1
2012215160,1
2012212426,1
2012213632,1
2012212633,0
2012215523,1
2012212086,1
2012215066,1
2012215835,1
2012211734,1
2012211488,1
2012212004,1
2012215183,1
2012213989,1
2012211606,1
2012214358,0
2012210367,1
2012212007,1
2012210398,1
2012213759,0
2012210413,1
2012211415,1
2012215602,1
2012215010,1
2012214457,0
2012212752,1
2012214164,1
2012214624,1
2012212443,1
2012214738,1
2012211290,1
2012213558,1
2012213297,1
2012214294,1
2012212843,1
2012212546,1
2012214646,1
2012211262,1
2012214589,1
2012213305,1
2012210289,0
2012212498,1
2012214807,1
2012214337,1
2012213665,1
2012214200,1
2012214524,0
2012215754,1
2012215403,1
2012213073,1
2012214781,1
2012214847,1
2012215228,1
2012214089,1
2012213936,1
2012213033,1
2012214730,1
2012212105,1
2012213587,1
2012212569,0
2012212616,1
2012210078,1
2012212006,1
2012215667,1
2012215050,1
2012211288,1
2012211508,1
2012215237,1
2012215532,0
2012211869,0
2012210295,1
2012213449,1
2012215116,1
2012211552,0
2012211803,1
2012213679,1
2012211980,1
2012213392,0
2012216031,1
2012215892,0
2012215457,1
2012211982,1
2012211938,1
2012210708,1
2012211912,1
2012212847,1
2012211325,1
2012210074,1
2012211949,1
2012215604,1
2012211114,1
2012210698,1
2012210256,1
2012212508,1
2012210364,1
2012212534,1
2012214577,1
2012210391,1
2012213475,0
2012213806,1
2012210677,1
2012213503,1
2012212688,1
2012211193,1
2012210077,1
2012210436,1
2012216033,1
2012215020,1
2012213404,1
2012212034,0
2012210787,1
2012215165,1
2012215641,1
2012212555,1
2012214735,1
2012212448,1
2012214472,1
2012215133,1
2012211614,1
2012212899,1
2012210507,1
2012212876,1
2012210313,1
2012215227,1
2012213775,0
2012210270,1
2012211683,1
2012212589,1
2012215587,1
2012214879,1
2012213082,1
2012212771,1
2012215188,1
2012210446,0
2012212449,0
2012211384,1
2012211165,1
2012212496,1
2012215906,1
2012210612,1
2012214955,1
2012215291,1
2012213067,1
2012211292,1
2012215153,1
2012214864,1
2012211672,0
2012212579,1
2012215168,1
2012213784,1
2012210801,1
2012214491,1
2012214211,1
2012212674,1
2012212983,1
2012211778,0
2012214684,1
2012210956,1
2012214059,1
2012215161,1
2012212400,1
2012215933,1
2012211222,1
2012211978,1
2012211248,0
2012212524,0
2012213038,1
2012215399,1
2012215626,1
2012211265,1
2012213010,1
2012212072,0
2012211999,1
2012213188,1
2012211247,1
2012214207,1
2012213462,1
2012215143,1
2012210316,1
2012213705,1
2012211516,1
2012210460,0
2012215664,0
2012211217,1
2012212720,1
2012212607,1
2012215115,1
2012214347,1
2012214586,0
2012211418,1
2012212381,0
2012215968,1
2012210333,1
2012213396,1
2012211227,1
2012212937,1
2012216091,1
2012211656,1
2012212191,1
2012211975,0
2012212714,1
2012211841,1
2012210372,0
2012214213,0
2012215179,1
2012210502,1
2012214134,1
2012213006,1
2012214883,1
2012210334,1
2012212698,1
2012215209,1
2012215577,1
2012215807,1
2012213725,0
2012210438,1
2012210102,1
2012210253,1
2012214571,1
